id,created_at,updated_at,name,short_name,stock_ticker,description,cik,gics_sector,gics_sub_industry,headquarters_location,founded_year
257,2021-06-18 12:12:46,2021-06-18 12:12:46,IPG Photonics Corp.,IPG Photonics Corp.,IPGP,,0001111928,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",1990
258,2021-06-18 12:12:46,2021-06-18 12:12:46,IQVIA Holdings Inc.,IQVIA Holdings Inc.,IQV,,0001478242,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",1982
242,2021-06-18 12:12:46,2021-06-18 12:12:46,Idexx Laboratories,Idexx Laboratories,IDXX,,0000874716,Health Care,Health Care Equipment,"Westbrook, Maine",1983
244,2021-06-18 12:12:46,2021-06-18 12:12:46,Illinois Tool Works,Illinois Tool Works,ITW,,0000049826,Industrials,Industrial Machinery,"Glenview, Illinois",1912
245,2021-06-18 12:12:46,2021-06-18 12:12:46,Illumina Inc,Illumina Inc,ILMN,,0001110803,Health Care,Life Sciences Tools & Services,"San Diego, California",1998
246,2021-06-18 12:12:46,2021-06-18 12:12:46,Incyte,Incyte,INCY,,0000879169,Health Care,Biotechnology,"Wilmington, Delaware",1991
247,2021-06-18 12:12:46,2021-06-18 12:12:46,Ingersoll Rand,Ingersoll Rand,IR,,0001699150,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",1859
248,2021-06-18 12:12:46,2021-06-18 12:12:46,Intel Corp.,Intel Corp.,INTC,,0000050863,Information Technology,Semiconductors,"Santa Clara, California",1968
249,2021-06-18 12:12:46,2021-06-18 12:12:46,Intercontinental Exchange,Intercontinental Exchange,ICE,,0001571949,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2000
250,2021-06-18 12:12:46,2021-06-18 12:12:46,International Business Machines,International Business Machines,IBM,,0000051143,Information Technology,IT Consulting & Other Services,"Armonk, New York",1911
253,2021-06-18 12:12:46,2021-06-18 12:12:46,International Flavors & Fragrances,International Flavors & Fragrances,IFF,,0000051253,Materials,Specialty Chemicals,"New York, New York",1958 (1889)
251,2021-06-18 12:12:46,2021-06-18 12:12:46,International Paper,International Paper,IP,,0000051434,Materials,Paper Packaging,"Memphis, Tennessee",1898
252,2021-06-18 12:12:46,2021-06-18 12:12:46,Interpublic Group,Interpublic Group,IPG,,0000051644,Communication Services,Advertising,"New York, New York",1961 (1930)
254,2021-06-18 12:12:46,2021-06-18 12:12:46,Intuit Inc.,Intuit Inc.,INTU,,0000896878,Information Technology,Application Software,"Mountain View, California",1983
255,2021-06-18 12:12:46,2021-06-18 12:12:46,Intuitive Surgical Inc.,Intuitive Surgical Inc.,ISRG,,0001035267,Health Care,Health Care Equipment,"Sunnyvale, California",1995
256,2021-06-18 12:12:46,2021-06-18 12:12:46,Invesco Ltd.,Invesco Ltd.,IVZ,,0000914208,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",1935
259,2021-06-18 12:12:46,2021-06-18 12:12:46,Iron Mountain Incorporated,Iron Mountain Incorporated,IRM,,0001020569,Real Estate,Specialized REITs,"Boston, Massachusetts",1951
262,2021-06-18 12:12:46,2021-06-18 12:12:46,J. B. Hunt Transport Services,J. B. Hunt Transport Services,JBHT,,0000728535,Industrials,Trucking,"Lowell, Arkansas",1961
263,2021-06-18 12:12:46,2021-06-18 12:12:46,JM Smucker,JM Smucker,SJM,,0000091419,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",1897
266,2021-06-18 12:12:46,2021-06-18 12:12:46,JPMorgan Chase & Co.,JPMorgan Chase & Co.,JPM,,0000019617,Financials,Diversified Banks,"New York, New York",2000 (1799 / 1871)
260,2021-06-18 12:12:46,2021-06-18 12:12:46,Jack Henry & Associates,Jack Henry & Associates,JKHY,,0000779152,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",1976
261,2021-06-18 12:12:46,2021-06-18 12:12:46,Jacobs Engineering Group,Jacobs Engineering Group,J,,0000052988,Industrials,Construction & Engineering,"Dallas, Texas",1947
